year,facilities,entries,exits,total_Mt,median_em,share_lt25k,share_lt15k
2010,6297,0,41,3196.572,70075.0,0.121,0.085
2011,6907,668,32,3207.583,67478.298,0.14,0.087
2012,7102,225,130,3058.076,63556.011,0.163,0.094
2013,7191,232,113,3073.214,60206.424,0.181,0.102
2014,7349,259,257,3084.069,57855.192,0.188,0.11
2015,7242,171,756,2939.444,58465.66,0.18,0.094
2016,6572,115,191,2804.145,65538.309,0.16,0.082
2017,6488,132,92,2734.723,65455.004,0.158,0.081
2018,6581,159,158,2778.824,67984.244,0.145,0.071
2019,6580,143,121,2628.047,66818.763,0.149,0.075
2020,6556,99,146,2402.676,62911.981,0.172,0.09
2021,6529,106,142,2523.513,64571.25,0.164,0.086
2022,6514,105,129,2504.279,66502.95,0.149,0.076
2023,6470,67,0,2382.84,65476.536,0.159,0.077
