sample,threshold,rule,k,excess,lo,hi,n,real
All threshold-bound,15k,3.0,3,1.9938650306748467,1.4863141202426915,2.6351950667002253,1575,True
All threshold-bound,15k,3.0,5,-0.559322033898305,-0.7778538812785388,-0.23805194805194826,1575,False
All threshold-bound,25k,5.0,3,0.630901287553648,0.3468859957776214,0.9720994534347872,1494,False
All threshold-bound,25k,5.0,5,1.6282051282051282,1.1548351452504009,2.2576324266284895,1494,True
All threshold-bound,40k,,3,0.14285714285714285,-0.12995578481945466,0.48393635571054894,857,False
All threshold-bound,40k,,5,-0.06542056074766354,-0.3518650793650794,0.2916666666666667,857,False
All threshold-bound,100k,,3,-0.3220338983050847,-0.6079248366013071,0.08779904306220052,286,False
All threshold-bound,100k,,5,-0.13513513513513514,-0.55,0.5003787878787858,286,False
"Ex oil&gas, ex-2015",15k,3.0,3,1.7804878048780488,0.88,3.250506756756754,402,True
"Ex oil&gas, ex-2015",15k,3.0,5,-0.42857142857142855,-0.8947368421052632,0.5555555555555556,402,False
"Ex oil&gas, ex-2015",25k,5.0,3,0.3793103448275862,-0.07463619402985074,1.0370726495726492,372,False
"Ex oil&gas, ex-2015",25k,5.0,5,1.9523809523809523,1.0,3.4006060606060573,372,True
"Ex oil&gas, ex-2015",40k,,3,0.2777777777777778,-0.2684035476718404,1.1745652173913008,231,False
"Ex oil&gas, ex-2015",40k,,5,-0.2,-0.6669354838709677,0.5789473684210527,231,False
"Ex oil&gas, ex-2015",100k,,3,0.6666666666666666,-0.3752403846153846,3.0,99,False
"Ex oil&gas, ex-2015",100k,,5,1.3333333333333333,-0.3333333333333333,8.0,99,False
